Column2,Column3,Column4,Column5,Column6,chla
2014,3,13,36.1406,-0.4844,0.010715
2014,3,2,36.5365,0.6823,0.011482
2014,3,4,35.9635,-0.2656,0.013183
2014,3,2,36.0469,-0.1198,0.017989
2014,3,2,36.6719,0.6094,0.022909
2014,3,23,35.901,-0.2031,0.027227
2014,3,5,36.7448,0.651,0.0302
2014,3,24,35.8802,-0.0052,0.0302
2014,3,18,36.0573,-0.526,0.031261
2014,3,23,37.0573,0.776,0.033497
2014,3,5,36.7865,0.7135,0.04121
2014,3,24,35.8177,-0.5885,0.045709
2014,3,27,36.3594,-0.3073,0.047315
2014,3,24,35.8594,-0.5156,0.048978
2014,3,2,36.5469,-0.9531,0.050699
2014,3,30,36.8802,-0.1302,0.050699
2014,3,22,36.724,-0.4427,0.052481
2014,3,20,36.3906,-0.2135,0.056234
2014,3,24,35.776,-0.6198,0.056234
2014,3,23,35.7344,-0.6406,0.05821
2014,3,9,37.1302,0.9531,0.064565
2014,3,20,36.5052,-0.1198,0.066834
2014,3,30,36.8698,-0.224,0.066834
2014,3,30,36.8385,0.099,0.066834
2014,3,2,36.6719,0.8073,0.069183
2014,3,18,36.1302,-0.3698,0.069183
2014,3,23,36.224,-0.4323,0.069183
2014,3,13,36.2448,-0.5469,0.071614
2014,3,2,36.5781,0.6302,0.074131
2014,3,2,36.724,-0.5469,0.076736
2014,3,2,35.9115,-0.6927,0.079433
2014,3,22,36.7135,0.3073,0.079433
2014,3,30,36.7344,0.3073,0.082224
2014,3,30,36.849,-0.2656,0.085114
2014,3,22,36.6927,-0.4844,0.088105
2014,3,4,35.8281,-0.9115,0.091201
2014,3,18,36.1302,-0.3177,0.091201
2014,3,24,35.8177,-0.5781,0.091201
2014,3,30,36.9115,-0.2031,0.091201
2014,3,4,35.8906,-0.7865,0.094406
2014,3,4,35.8281,-0.8802,0.094406
2014,3,4,36.349,0.099,0.094406
2014,3,9,37.2448,0.9427,0.094406
2014,3,18,36.0052,-0.5885,0.097724
2014,3,21,36.4427,-0.6719,0.097724
2014,3,23,36.1302,-0.276,0.097724
2014,3,23,35.7448,-0.6094,0.097724
2014,3,30,36.6719,0.224,0.097724
2014,3,4,35.9115,-0.526,0.101158
2014,3,24,35.8281,-0.5885,0.101158
2014,3,25,36.5885,-0.026,0.101158
2014,3,18,36.2344,0.0677,0.104713
2014,3,9,36.7448,-0.1198,0.108393
2014,3,23,37.099,0.8802,0.108393
2014,3,30,36.776,0.1302,0.108393
2014,3,30,36.7552,0.4635,0.108393
2014,3,2,36.4948,-0.5573,0.112202
2014,3,4,36.349,0.1615,0.112202
2014,3,24,35.8594,-0.526,0.112202
2014,3,4,35.9115,-0.8385,0.116145
2014,3,6,36.5677,-0.8385,0.116145
2014,3,20,36.849,-0.1094,0.116145
2014,3,20,36.4635,-0.3594,0.116145
2014,3,21,36.0469,-0.651,0.116145
2014,3,22,37.0573,0.5052,0.116145
2014,3,22,36.7969,-0.3698,0.116145
2014,3,23,37.1823,0.8177,0.116145
2014,3,24,35.8073,-0.5781,0.116145
2014,3,24,35.776,-0.6094,0.116145
2014,3,30,36.7969,0.5573,0.116145
2014,3,2,36.5365,0.4219,0.120226
2014,3,16,36.4531,-0.3594,0.120226
2014,3,22,37.099,0.5677,0.120226
2014,3,23,36.2656,-0.5365,0.120226
2014,3,3,36.7865,-0.5156,0.124451
2014,3,4,36.151,-0.1094,0.124451
2014,3,18,36.1302,-0.3594,0.124451
2014,3,18,36.1302,-0.3281,0.124451
2014,3,20,37.1198,0.4427,0.124451
2014,3,20,36.5469,-0.2448,0.124451
2014,3,20,36.5156,-0.3073,0.124451
2014,3,23,36.9948,0.4115,0.124451
2014,3,24,35.7969,-0.599,0.124451
2014,3,26,36.7031,0.0677,0.124451
2014,3,26,36.599,0.3698,0.124451
2014,3,4,35.8281,-0.9323,0.128825
2014,3,18,36.1302,-0.3385,0.128825
2014,3,20,36.8594,-0.0365,0.128825
2014,3,20,36.6302,-0.1823,0.128825
2014,3,22,37.0677,0.5156,0.128825
2014,3,24,35.8177,-0.599,0.128825
2014,3,30,36.849,-0.3073,0.128825
2014,3,30,36.5885,0.3177,0.128825
2014,3,5,37.1198,0.4635,0.133352
2014,3,18,36.1094,-0.401,0.133352
2014,3,21,36.4427,-0.724,0.133352
2014,3,22,36.6927,-0.526,0.133352
2014,3,24,35.8698,-0.5156,0.133352
2014,3,24,35.8073,-0.599,0.133352
2014,3,24,35.8073,-0.5885,0.133352
2014,3,24,35.7969,-0.5781,0.133352
2014,3,25,36.776,0.224,0.133352
2014,3,26,36.7031,0.026,0.133352
2014,3,26,36.526,0.7135,0.133352
2014,3,30,36.9115,-0.0156,0.133352
2014,3,30,36.8177,0.599,0.133352
2014,3,6,36.8177,-0.4323,0.138038
2014,3,9,36.5156,0.5052,0.138038
2014,3,9,36.4844,0.6823,0.138038
2014,3,9,36.474,0.6406,0.138038
2014,3,13,36.1823,-0.5156,0.138038
2014,3,18,36.1094,-0.5156,0.138038
2014,3,20,36.9635,0.2969,0.138038
2014,3,20,36.5052,-0.2135,0.138038
2014,3,22,36.526,-0.5781,0.138038
2014,3,23,37.0573,0.7865,0.138038
2014,3,23,36.2865,-0.5677,0.138038
2014,3,23,36.0469,-0.1406,0.138038
2014,3,24,36.7031,-0.0885,0.138038
2014,3,24,36.6198,-0.0885,0.138038
2014,3,24,35.8698,-0.5052,0.138038
2014,3,24,35.7865,-0.5885,0.138038
2014,3,25,36.5885,-0.0052,0.138038
2014,3,25,36.4531,-0.4844,0.138038
2014,3,26,36.7031,0.0365,0.138038
2014,3,26,36.7031,0.0469,0.138038
2014,3,26,36.7031,0.0573,0.138038
2014,3,26,36.6927,0.0469,0.138038
2014,3,26,36.6927,0.0677,0.138038
2014,3,26,36.6927,0.0781,0.138038
2014,3,26,36.6823,0.0781,0.138038
2014,3,30,36.9115,0.0365,0.138038
2014,3,30,36.849,0.0469,0.138038
2014,3,2,36.2552,0.1615,0.142889
2014,3,2,36.1927,-0.099,0.142889
2014,3,2,36.0781,-0.0469,0.142889
2014,3,4,35.8698,-0.9635,0.142889
2014,3,4,36.026,-0.0365,0.142889
2014,3,4,35.9427,-0.6406,0.142889
2014,3,6,36.5365,-0.8698,0.142889
2014,3,6,36.599,-0.5469,0.142889
2014,3,13,36.6927,0.8698,0.142889
2014,3,18,36.0781,-0.5156,0.142889
2014,3,21,36.849,-0.0052,0.142889
2014,3,22,36.9323,0.224,0.142889
2014,3,23,36.2135,-0.4219,0.142889
2014,3,24,35.7969,-0.5885,0.142889
2014,3,24,35.7865,-0.6302,0.142889
2014,3,24,35.7865,-0.6198,0.142889
2014,3,24,35.7865,-0.5781,0.142889
2014,3,26,36.8281,0.599,0.142889
2014,3,26,36.7135,0.0156,0.142889
2014,3,26,36.6927,0.0365,0.142889
2014,3,26,36.6927,0.0573,0.142889
2014,3,27,36.0885,-0.2448,0.142889
2014,3,30,36.776,0.2448,0.142889
2014,3,2,36.401,0.0469,0.147911
2014,3,2,36.3281,-0.0365,0.147911
2014,3,11,37.1302,0.8073,0.147911
2014,3,20,36.7656,-0.1823,0.147911
2014,3,22,36.5781,-0.6823,0.147911
2014,3,22,37.099,0.4948,0.147911
2014,3,22,37.0573,0.4948,0.147911
2014,3,22,36.9323,0.2552,0.147911
2014,3,22,36.8385,0.0573,0.147911
2014,3,22,36.724,-0.5781,0.147911
